id_art;id_adress;id_categorie;DateVente;prixVenteUt;quantiteVent;montantVent
1;33;7;06-03-2013;452;15;6780
1;3;7;10-06-2012;448;15;6720
1;20;7;17-02-2012;451;2;902
2;11;3;30-10-2012;99;2;198
2;8;3;05-05-2014;100;1;100
2;8;3;08-08-2014;99;1;99
2;4;3;01-12-2012;102;3;306
2;4;3;09-02-2013;97;4;388
2;9;3;13-09-2014;101;2;202
3;7;1;05-01-2012;501;23;11523
3;7;1;28-11-2012;500;35;17500
3;12;1;23-03-2013;502;1;502
4;31;1;21-09-2012;799;3;2397
4;1;1;29-08-2012;800;2;1600
4;18;1;13-09-2012;799;2;1598
4;8;1;04-05-2013;796;1;796
4;11;1;08-09-2013;800;3;2400
4;10;1;29-12-2014;802;3;2406
4;7;1;18-09-2014;801;4;3204
4;29;1;01-01-1980;802;1;802
4;3;1;24-12-2012;798;2;1596
4;29;1;31-07-2013;795;2;1590
5;30;1;29-12-2014;599;3;1797
5;16;1;18-04-2014;598;3;1794
5;1;1;17-07-2013;602;1;602
5;29;1;24-06-2014;600;4;2400
5;26;1;18-08-2014;602;4;2408
6;7;1;13-12-2013;1199;2;2398
6;3;1;05-04-2014;1199;11;13189
6;1;1;01-03-2014;1197;8;9576
6;22;1;18-05-2013;1198;4;4792
6;33;1;28-10-2013;1199;8;9592
6;29;1;28-08-2012;1202;9;10818
6;24;1;19-07-2013;1198;8;9584
6;20;1;26-06-2013;1202;8;9616
6;31;1;30-06-2012;1197;10;11970
6;22;1;08-08-2014;1195;6;7170
7;27;1;29-03-2013;702;2;1404
7;19;1;09-12-2014;699;1;699
7;23;1;26-10-2014;702;3;2106
7;7;1;26-04-2014;700;1;700
7;18;1;27-09-2013;701;3;2103
7;11;1;11-01-2014;696;2;1392
7;30;1;28-06-2014;699;3;2097
7;26;1;03-10-2013;699;1;699
7;10;1;13-06-2014;702;1;702
8;21;1;12-06-2014;595;4;2380
8;12;1;19-12-2013;598;2;1196
8;26;1;08-10-2012;600;5;3000
9;30;1;14-04-2014;799;1;799
9;19;1;26-12-2014;799;1;799
9;15;1;19-10-2013;801;1;801
9;4;1;22-01-2012;801;3;2403
9;28;1;19-06-2013;795;2;1590
9;25;1;09-01-2014;798;1;798
9;7;1;22-04-2012;796;3;2388
9;33;1;10-09-2013;798;2;1596
10;29;1;17-09-2014;552;4;2208
10;14;1;25-09-2013;549;4;2196
10;10;1;28-12-2014;546;5;2730
10;11;1;08-10-2013;547;3;1641
10;23;1;26-09-2013;549;3;1647
10;33;1;02-10-2012;548;2;1096
10;31;1;14-09-2014;546;5;2730
11;15;1;12-04-2014;1149;2;2298
11;20;1;09-07-2012;1151;3;3453
11;4;1;01-01-1980;1151;3;3453
11;20;1;24-10-2013;1151;4;4604
11;4;1;17-08-2013;1148;3;3444
11;29;1;28-09-2014;1147;1;1147
11;23;1;19-09-2013;1151;2;2302
11;4;1;09-01-2012;1152;4;4608
11;11;1;18-04-2014;1145;2;2290
11;7;1;21-07-2013;1148;2;2296
11;27;1;03-02-2014;1152;4;4608
11;13;1;13-02-2014;1148;5;5740
11;19;1;04-02-2014;1152;3;3456
11;10;1;21-03-2012;1152;4;4608
11;28;1;28-09-2012;1150;5;5750
11;1;1;11-09-2012;1149;3;3447
12;12;1;24-09-2013;1199;2;2398
12;14;1;10-07-2012;1195;2;2390
12;14;1;19-10-2012;1197;2;2394
12;18;1;20-07-2012;1202;1;1202
12;23;1;02-09-2013;1199;3;3597
12;16;1;01-05-2014;1197;2;2394
12;12;1;14-09-2012;1198;2;2396
12;18;1;30-07-2012;1196;3;3588
12;16;1;04-03-2014;1199;3;3597
12;23;1;06-01-2014;1200;2;2400
12;1;1;04-02-2012;1196;1;1196
12;30;1;21-06-2013;1195;4;4780
12;16;1;24-10-2013;1195;2;2390
13;25;1;12-02-2014;1200;2;2400
13;26;1;30-07-2012;1198;1;1198
13;6;1;26-04-2014;1201;3;3603
13;2;1;25-12-2014;1201;2;2402
13;6;1;13-08-2014;1197;2;2394
13;31;1;12-04-2014;1196;3;3588
